unit_number,time_cycles,sensor,sensor_label,value,value_smoothed,fleet_median
9,34,T50,T50 — LPT outlet temperature (rises with wear),1415.06,1410.157,1401.957
9,35,T50,T50 — LPT outlet temperature (rises with wear),1411.51,1410.643,1401.718
9,36,T50,T50 — LPT outlet temperature (rises with wear),1405.13,1410.023,1401.57
9,37,T50,T50 — LPT outlet temperature (rises with wear),1406.4,1409.723,1402.174
9,38,T50,T50 — LPT outlet temperature (rises with wear),1411.52,1409.469,1402.152
9,39,T50,T50 — LPT outlet temperature (rises with wear),1410.76,1409.33,1402.566
9,40,T50,T50 — LPT outlet temperature (rises with wear),1404.79,1408.646,1402.138
9,41,T50,T50 — LPT outlet temperature (rises with wear),1409.22,1408.415,1402.188
9,42,T50,T50 — LPT outlet temperature (rises with wear),1404.21,1408.092,1402.011
9,43,T50,T50 — LPT outlet temperature (rises with wear),1414.42,1409.302,1401.995
9,44,T50,T50 — LPT outlet temperature (rises with wear),1410.88,1408.884,1402.36
9,45,T50,T50 — LPT outlet temperature (rises with wear),1406.45,1408.378,1402.528
9,46,T50,T50 — LPT outlet temperature (rises with wear),1410.84,1408.949,1402.58
9,47,T50,T50 — LPT outlet temperature (rises with wear),1407.5,1409.059,1402.292
9,48,T50,T50 — LPT outlet temperature (rises with wear),1411.44,1409.051,1402.136
9,49,T50,T50 — LPT outlet temperature (rises with wear),1412.33,1409.208,1402.224
9,50,T50,T50 — LPT outlet temperature (rises with wear),1404.98,1409.227,1401.999
9,51,T50,T50 — LPT outlet temperature (rises with wear),1404.84,1408.789,1401.854
9,52,T50,T50 — LPT outlet temperature (rises with wear),1408.68,1409.236,1401.852
9,53,T50,T50 — LPT outlet temperature (rises with wear),1409.15,1408.709,1402.148
9,54,T50,T50 — LPT outlet temperature (rises with wear),1404.71,1408.092,1401.964
9,55,T50,T50 — LPT outlet temperature (rises with wear),1410.27,1408.474,1401.503
9,30,phi,phi — fuel flow ratio (falls with wear),521.18,521.456,521.958
9,31,phi,phi — fuel flow ratio (falls with wear),521.33,521.46,521.951
9,32,phi,phi — fuel flow ratio (falls with wear),521.92,521.479,521.982
9,33,phi,phi — fuel flow ratio (falls with wear),520.97,521.434,521.977
9,34,phi,phi — fuel flow ratio (falls with wear),520.99,521.393,521.983
9,35,phi,phi — fuel flow ratio (falls with wear),521.28,521.365,521.994
9,36,phi,phi — fuel flow ratio (falls with wear),521.31,521.377,522.002
9,37,phi,phi — fuel flow ratio (falls with wear),521.59,521.377,521.97
9,38,phi,phi — fuel flow ratio (falls with wear),521.66,521.357,521.977
9,39,phi,phi — fuel flow ratio (falls with wear),521.23,521.346,521.949
9,40,phi,phi — fuel flow ratio (falls with wear),521.09,521.337,521.979
9,41,phi,phi — fuel flow ratio (falls with wear),521.58,521.362,521.973
9,42,phi,phi — fuel flow ratio (falls with wear),521.29,521.299,522.006
9,43,phi,phi — fuel flow ratio (falls with wear),521.24,521.326,521.98
9,44,phi,phi — fuel flow ratio (falls with wear),521.13,521.34,521.989
9,45,phi,phi — fuel flow ratio (falls with wear),521.87,521.399,521.972
9,46,phi,phi — fuel flow ratio (falls with wear),521.73,521.441,521.978
9,47,phi,phi — fuel flow ratio (falls with wear),521.19,521.401,521.971
9,48,phi,phi — fuel flow ratio (falls with wear),521.23,521.358,521.943
9,49,phi,phi — fuel flow ratio (falls with wear),522.01,521.436,521.956
9,50,phi,phi — fuel flow ratio (falls with wear),521.74,521.501,521.972
9,51,phi,phi — fuel flow ratio (falls with wear),521.45,521.488,521.939
9,52,phi,phi — fuel flow ratio (falls with wear),522.0,521.559,521.928
9,53,phi,phi — fuel flow ratio (falls with wear),521.0,521.535,521.931
9,54,phi,phi — fuel flow ratio (falls with wear),521.54,521.576,521.912
9,55,phi,phi — fuel flow ratio (falls with wear),521.65,521.554,521.942
10,30,BPR,BPR — bypass ratio (rises with wear),8.42,8.396,8.415
10,31,BPR,BPR — bypass ratio (rises with wear),8.402,8.398,8.416
10,32,BPR,BPR — bypass ratio (rises with wear),8.409,8.399,8.415
10,33,BPR,BPR — bypass ratio (rises with wear),8.397,8.397,8.416
10,34,BPR,BPR — bypass ratio (rises with wear),8.432,8.404,8.415
10,35,BPR,BPR — bypass ratio (rises with wear),8.388,8.406,8.417
10,36,BPR,BPR — bypass ratio (rises with wear),8.383,8.406,8.416
10,37,BPR,BPR — bypass ratio (rises with wear),8.435,8.408,8.418
10,38,BPR,BPR — bypass ratio (rises with wear),8.376,8.405,8.418
10,39,BPR,BPR — bypass ratio (rises with wear),8.402,8.404,8.418
10,40,BPR,BPR — bypass ratio (rises with wear),8.41,8.403,8.417
10,41,BPR,BPR — bypass ratio (rises with wear),8.464,8.41,8.418
10,42,BPR,BPR — bypass ratio (rises with wear),8.396,8.408,8.419
10,43,BPR,BPR — bypass ratio (rises with wear),8.372,8.406,8.417
10,44,BPR,BPR — bypass ratio (rises with wear),8.369,8.4,8.418
10,45,BPR,BPR — bypass ratio (rises with wear),8.392,8.4,8.419
10,46,BPR,BPR — bypass ratio (rises with wear),8.422,8.404,8.418
10,47,BPR,BPR — bypass ratio (rises with wear),8.383,8.399,8.418
10,48,BPR,BPR — bypass ratio (rises with wear),8.407,8.402,8.419
10,49,BPR,BPR — bypass ratio (rises with wear),8.377,8.399,8.416
10,50,BPR,BPR — bypass ratio (rises with wear),8.402,8.399,8.418
10,51,BPR,BPR — bypass ratio (rises with wear),8.417,8.394,8.419
10,52,BPR,BPR — bypass ratio (rises with wear),8.412,8.395,8.418
10,53,BPR,BPR — bypass ratio (rises with wear),8.436,8.402,8.419
10,54,BPR,BPR — bypass ratio (rises with wear),8.398,8.405,8.42
10,55,BPR,BPR — bypass ratio (rises with wear),8.396,8.405,8.418
10,56,BPR,BPR — bypass ratio (rises with wear),8.406,8.404,8.418
10,57,BPR,BPR — bypass ratio (rises with wear),8.412,8.406,8.418
10,58,BPR,BPR — bypass ratio (rises with wear),8.42,8.408,8.416
10,59,BPR,BPR — bypass ratio (rises with wear),8.382,8.408,8.416
10,60,BPR,BPR — bypass ratio (rises with wear),8.402,8.408,8.416
10,61,BPR,BPR — bypass ratio (rises with wear),8.392,8.406,8.419
10,62,BPR,BPR — bypass ratio (rises with wear),8.413,8.406,8.419
10,63,BPR,BPR — bypass ratio (rises with wear),8.418,8.404,8.42
10,64,BPR,BPR — bypass ratio (rises with wear),8.428,8.407,8.419
10,65,BPR,BPR — bypass ratio (rises with wear),8.37,8.404,8.418
10,66,BPR,BPR — bypass ratio (rises with wear),8.427,8.406,8.419
10,67,BPR,BPR — bypass ratio (rises with wear),8.389,8.404,8.419
10,68,BPR,BPR — bypass ratio (rises with wear),8.43,8.405,8.42
10,69,BPR,BPR — bypass ratio (rises with wear),8.405,8.407,8.42
10,70,BPR,BPR — bypass ratio (rises with wear),8.4,8.407,8.42
10,71,BPR,BPR — bypass ratio (rises with wear),8.396,8.408,8.419
10,72,BPR,BPR — bypass ratio (rises with wear),8.393,8.406,8.42
10,73,BPR,BPR — bypass ratio (rises with wear),8.429,8.407,8.422
10,74,BPR,BPR — bypass ratio (rises with wear),8.397,8.404,8.419
10,75,BPR,BPR — bypass ratio (rises with wear),8.393,8.406,8.418
10,76,BPR,BPR — bypass ratio (rises with wear),8.396,8.403,8.417
10,77,BPR,BPR — bypass ratio (rises with wear),8.378,8.402,8.419
10,78,BPR,BPR — bypass ratio (rises with wear),8.381,8.397,8.42
10,79,BPR,BPR — bypass ratio (rises with wear),8.41,8.397,8.42
10,80,BPR,BPR — bypass ratio (rises with wear),8.408,8.398,8.419
10,81,BPR,BPR — bypass ratio (rises with wear),8.388,8.397,8.42
10,82,BPR,BPR — bypass ratio (rises with wear),8.412,8.399,8.421
10,83,BPR,BPR — bypass ratio (rises with wear),8.395,8.396,8.422
10,84,BPR,BPR — bypass ratio (rises with wear),8.38,8.394,8.42
10,85,BPR,BPR — bypass ratio (rises with wear),8.44,8.399,8.421
10,86,BPR,BPR — bypass ratio (rises with wear),8.419,8.401,8.422
10,87,BPR,BPR — bypass ratio (rises with wear),8.381,8.401,8.423
10,88,BPR,BPR — bypass ratio (rises with wear),8.444,8.408,8.423
10,89,BPR,BPR — bypass ratio (rises with wear),8.405,8.407,8.423
10,90,BPR,BPR — bypass ratio (rises with wear),8.392,8.406,8.424
10,91,BPR,BPR — bypass ratio (rises with wear),8.409,8.408,8.423
10,92,BPR,BPR — bypass ratio (rises with wear),8.417,8.408,8.423
10,93,BPR,BPR — bypass ratio (rises with wear),8.418,8.41,8.423
10,94,BPR,BPR — bypass ratio (rises with wear),8.414,8.414,8.426
10,95,BPR,BPR — bypass ratio (rises with wear),8.416,8.411,8.426
10,96,BPR,BPR — bypass ratio (rises with wear),8.409,8.41,8.426
10,97,BPR,BPR — bypass ratio (rises with wear),8.422,8.415,8.424
10,98,BPR,BPR — bypass ratio (rises with wear),8.417,8.412,8.425
10,99,BPR,BPR — bypass ratio (rises with wear),8.439,8.415,8.426
10,100,BPR,BPR — bypass ratio (rises with wear),8.382,8.414,8.428
10,101,BPR,BPR — bypass ratio (rises with wear),8.413,8.415,8.427
10,102,BPR,BPR — bypass ratio (rises with wear),8.406,8.414,8.428
10,103,BPR,BPR — bypass ratio (rises with wear),8.397,8.411,8.428
10,104,BPR,BPR — bypass ratio (rises with wear),8.411,8.411,8.428
10,105,BPR,BPR — bypass ratio (rises with wear),8.403,8.41,8.428
10,106,BPR,BPR — bypass ratio (rises with wear),8.434,8.412,8.429
10,107,BPR,BPR — bypass ratio (rises with wear),8.391,8.409,8.43
10,108,BPR,BPR — bypass ratio (rises with wear),8.4,8.408,8.429
10,109,BPR,BPR — bypass ratio (rises with wear),8.376,8.401,8.428
10,110,BPR,BPR — bypass ratio (rises with wear),8.391,8.402,8.429
10,111,BPR,BPR — bypass ratio (rises with wear),8.439,8.405,8.43
10,112,BPR,BPR — bypass ratio (rises with wear),8.444,8.409,8.429
10,113,BPR,BPR — bypass ratio (rises with wear),8.408,8.41,8.432
10,114,BPR,BPR — bypass ratio (rises with wear),8.412,8.41,8.433
10,115,BPR,BPR — bypass ratio (rises with wear),8.425,8.412,8.432
10,116,BPR,BPR — bypass ratio (rises with wear),8.416,8.41,8.433
10,117,BPR,BPR — bypass ratio (rises with wear),8.385,8.409,8.433
10,118,BPR,BPR — bypass ratio (rises with wear),8.387,8.408,8.434
10,119,BPR,BPR — bypass ratio (rises with wear),8.412,8.412,8.436
10,120,BPR,BPR — bypass ratio (rises with wear),8.391,8.412,8.436
10,121,BPR,BPR — bypass ratio (rises with wear),8.414,8.409,8.434
10,122,BPR,BPR — bypass ratio (rises with wear),8.375,8.403,8.435
10,123,BPR,BPR — bypass ratio (rises with wear),8.438,8.406,8.435
10,124,BPR,BPR — bypass ratio (rises with wear),8.378,8.402,8.432
10,125,BPR,BPR — bypass ratio (rises with wear),8.419,8.401,8.434
10,126,BPR,BPR — bypass ratio (rises with wear),8.441,8.404,8.433
10,127,BPR,BPR — bypass ratio (rises with wear),8.406,8.406,8.432
10,128,BPR,BPR — bypass ratio (rises with wear),8.411,8.408,8.435
10,129,BPR,BPR — bypass ratio (rises with wear),8.412,8.409,8.436
10,130,BPR,BPR — bypass ratio (rises with wear),8.384,8.408,8.437
10,131,BPR,BPR — bypass ratio (rises with wear),8.437,8.41,8.438
10,132,BPR,BPR — bypass ratio (rises with wear),8.408,8.413,8.437
10,133,BPR,BPR — bypass ratio (rises with wear),8.434,8.413,8.438
10,134,BPR,BPR — bypass ratio (rises with wear),8.432,8.418,8.438
10,135,BPR,BPR — bypass ratio (rises with wear),8.433,8.42,8.438
10,136,BPR,BPR — bypass ratio (rises with wear),8.422,8.418,8.437
10,137,BPR,BPR — bypass ratio (rises with wear),8.417,8.419,8.44
10,138,BPR,BPR — bypass ratio (rises with wear),8.413,8.419,8.436
10,139,BPR,BPR — bypass ratio (rises with wear),8.42,8.42,8.437
10,140,BPR,BPR — bypass ratio (rises with wear),8.379,8.42,8.438
10,141,BPR,BPR — bypass ratio (rises with wear),8.431,8.419,8.437
10,142,BPR,BPR — bypass ratio (rises with wear),8.408,8.419,8.436
10,143,BPR,BPR — bypass ratio (rises with wear),8.374,8.413,8.438
10,144,BPR,BPR — bypass ratio (rises with wear),8.397,8.409,8.438
10,145,BPR,BPR — bypass ratio (rises with wear),8.427,8.409,8.437
10,146,BPR,BPR — bypass ratio (rises with wear),8.41,8.408,8.439
10,147,BPR,BPR — bypass ratio (rises with wear),8.428,8.409,8.439
10,148,BPR,BPR — bypass ratio (rises with wear),8.432,8.411,8.441
10,149,BPR,BPR — bypass ratio (rises with wear),8.413,8.41,8.44
10,150,BPR,BPR — bypass ratio (rises with wear),8.408,8.413,8.44
10,151,BPR,BPR — bypass ratio (rises with wear),8.386,8.408,8.442
10,152,BPR,BPR — bypass ratio (rises with wear),8.413,8.409,8.444
10,153,BPR,BPR — bypass ratio (rises with wear),8.388,8.41,8.443
10,154,BPR,BPR — bypass ratio (rises with wear),8.457,8.416,8.443
10,155,BPR,BPR — bypass ratio (rises with wear),8.448,8.418,8.445
10,156,BPR,BPR — bypass ratio (rises with wear),8.418,8.419,8.447
10,157,BPR,BPR — bypass ratio (rises with wear),8.423,8.419,8.444
10,158,BPR,BPR — bypass ratio (rises with wear),8.418,8.417,8.445
10,159,BPR,BPR — bypass ratio (rises with wear),8.424,8.418,8.445
10,160,BPR,BPR — bypass ratio (rises with wear),8.47,8.424,8.446
10,161,BPR,BPR — bypass ratio (rises with wear),8.44,8.43,8.449
10,162,BPR,BPR — bypass ratio (rises with wear),8.447,8.433,8.448
10,163,BPR,BPR — bypass ratio (rises with wear),8.428,8.437,8.446
10,164,BPR,BPR — bypass ratio (rises with wear),8.422,8.434,8.446
10,165,BPR,BPR — bypass ratio (rises with wear),8.431,8.432,8.442
10,166,BPR,BPR — bypass ratio (rises with wear),8.436,8.434,8.445
10,167,BPR,BPR — bypass ratio (rises with wear),8.43,8.434,8.445
10,168,BPR,BPR — bypass ratio (rises with wear),8.429,8.436,8.443
10,169,BPR,BPR — bypass ratio (rises with wear),8.397,8.433,8.446
10,170,BPR,BPR — bypass ratio (rises with wear),8.415,8.427,8.45
10,171,BPR,BPR — bypass ratio (rises with wear),8.426,8.426,8.45
10,172,BPR,BPR — bypass ratio (rises with wear),8.443,8.426,8.451
10,173,BPR,BPR — bypass ratio (rises with wear),8.42,8.425,8.453
10,174,BPR,BPR — bypass ratio (rises with wear),8.445,8.427,8.452
10,175,BPR,BPR — bypass ratio (rises with wear),8.413,8.425,8.452
10,176,BPR,BPR — bypass ratio (rises with wear),8.441,8.426,8.456
10,177,BPR,BPR — bypass ratio (rises with wear),8.434,8.426,8.453
10,178,BPR,BPR — bypass ratio (rises with wear),8.421,8.425,8.454
10,179,BPR,BPR — bypass ratio (rises with wear),8.41,8.427,8.453
10,180,BPR,BPR — bypass ratio (rises with wear),8.442,8.429,8.457
10,181,BPR,BPR — bypass ratio (rises with wear),8.434,8.43,8.458
10,182,BPR,BPR — bypass ratio (rises with wear),8.425,8.428,8.457
10,183,BPR,BPR — bypass ratio (rises with wear),8.439,8.43,8.457
10,184,BPR,BPR — bypass ratio (rises with wear),8.454,8.431,8.458
10,185,BPR,BPR — bypass ratio (rises with wear),8.403,8.43,8.456
10,186,BPR,BPR — bypass ratio (rises with wear),8.432,8.429,8.459
10,187,BPR,BPR — bypass ratio (rises with wear),8.448,8.431,8.453
10,188,BPR,BPR — bypass ratio (rises with wear),8.444,8.433,8.454
10,189,BPR,BPR — bypass ratio (rises with wear),8.403,8.432,8.456
10,190,BPR,BPR — bypass ratio (rises with wear),8.477,8.436,8.454
10,191,BPR,BPR — bypass ratio (rises with wear),8.407,8.433,8.457
10,192,BPR,BPR — bypass ratio (rises with wear),8.419,8.433,8.456
10,30,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.28,47.257,47.316
10,31,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.28,47.271,47.314
10,32,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.277,47.332
10,33,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.3,47.273,47.326
10,34,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.16,47.268,47.336
10,35,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.27,47.278,47.333
10,36,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.36,47.276,47.341
10,37,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.04,47.254,47.331
10,38,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.29,47.238,47.335
10,39,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.27,47.247,47.33
10,40,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.238,47.338
10,41,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.229,47.329
10,42,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.16,47.223,47.334
10,43,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.212,47.334
10,44,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.07,47.203,47.339
10,45,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.05,47.181,47.342
10,46,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.15,47.16,47.348
10,47,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.32,47.188,47.344
10,48,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.178,47.35
10,49,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.1,47.161,47.36
10,50,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.184,47.365
10,51,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.196,47.358
10,52,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.14,47.194,47.358
10,53,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.206,47.358
10,54,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.221,47.352
10,55,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.239,47.348
10,56,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.18,47.242,47.344
10,57,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.47,47.257,47.352
10,58,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.13,47.251,47.35
10,59,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.09,47.25,47.348
10,60,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.0,47.208,47.351
10,61,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.25,47.202,47.342
10,62,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.15,47.203,47.34
10,63,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.25,47.197,47.344
10,64,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.194,47.348
10,65,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.194,47.348
10,66,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.15,47.191,47.36
10,67,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.28,47.172,47.35
10,68,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.24,47.183,47.35
10,69,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.11,47.185,47.363
10,70,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.25,47.21,47.364
10,71,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.37,47.222,47.36
10,72,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.18,47.225,47.379
10,73,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.08,47.208,47.382
10,74,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.215,47.372
10,75,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.223,47.382
10,76,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.21,47.229,47.375
10,77,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.24,47.225,47.379
10,78,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.08,47.209,47.378
10,79,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.22,47.38
10,80,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.218,47.375
10,81,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.2,47.381
10,82,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.17,47.199,47.384
10,83,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.47,47.238,47.392
10,84,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.15,47.227,47.392
10,85,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.27,47.223,47.391
10,86,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.1,47.212,47.384
10,87,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.4,47.228,47.385
10,88,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.242,47.39
10,89,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.246,47.402
10,90,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.246,47.399
10,91,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.249,47.396
10,92,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.2,47.252,47.397
10,93,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.35,47.24,47.394
10,94,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.251,47.406
10,95,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.1,47.234,47.407
10,96,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.41,47.265,47.406
10,97,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.247,47.415
10,98,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.27,47.419
10,99,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.27,47.425
10,100,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.17,47.264,47.428
10,101,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.3,47.272,47.442
10,102,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.34,47.286,47.44
10,103,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.09,47.26,47.442
10,104,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.36,47.27,47.447
10,105,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.286,47.437
10,106,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.28,47.273,47.44
10,107,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.24,47.275,47.436
10,108,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.17,47.247,47.437
10,109,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.266,47.441
10,110,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.25,47.274,47.442
10,111,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.27,47.439
10,112,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.2,47.256,47.457
10,113,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.22,47.269,47.467
10,114,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.264,47.471
10,115,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.261,47.47
10,116,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.21,47.254,47.47
10,117,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.13,47.243,47.471
10,118,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.257,47.476
10,119,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.37,47.249,47.485
10,120,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.273,47.478
10,121,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.35,47.282,47.487
10,122,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.17,47.279,47.482
10,123,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.16,47.273,47.48
10,124,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.12,47.254,47.484
10,125,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.18,47.249,47.479
10,126,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.4,47.268,47.484
10,127,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.286,47.486
10,128,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.09,47.264,47.495
10,129,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.37,47.264,47.504
10,130,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.36,47.251,47.507
10,131,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.4,47.256,47.502
10,132,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.38,47.277,47.506
10,133,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.29,47.29,47.51
10,134,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.19,47.297,47.504
10,135,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.24,47.303,47.518
10,136,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.29,47.292,47.521
10,137,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.37,47.298,47.528
10,138,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.334,47.529
10,139,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.347,47.522
10,140,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.35,47.346,47.515
10,141,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.355,47.524
10,142,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.47,47.364,47.534
10,143,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.16,47.351,47.543
10,144,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.34,47.366,47.536
10,145,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.3,47.372,47.537
10,146,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.41,47.384,47.552
10,147,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.37,47.546
10,148,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.41,47.366,47.56
10,149,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.29,47.345,47.567
10,150,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.53,47.363,47.546
10,151,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.31,47.345,47.559
10,152,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.23,47.321,47.568
10,153,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.347,47.554
10,154,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.17,47.33,47.567
10,155,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.28,47.328,47.572
10,156,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.13,47.3,47.546
10,157,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.36,47.313,47.551
10,158,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.35,47.307,47.545
10,159,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.32,47.31,47.548
10,160,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.26,47.283,47.557
10,161,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.295,47.562
10,162,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.314,47.551
10,163,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.32,47.304,47.538
10,164,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.48,47.335,47.537
10,165,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.35,47.539
10,166,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.379,47.562
10,167,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.392,47.582
10,168,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.48,47.405,47.584
10,169,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.48,47.421,47.598
